LATITUDE,LONGITUDE,GRAINSIZE
48.49079,-125.00548,2.81336498
48.49102,-124.99195,2.12604189
48.49126,-124.97843,2.03179359
48.49149,-124.96490,1.59792328
48.49172,-124.95137,1.53236806
48.49195,-124.93785,1.03686237
48.49217,-124.92432,1.04996037
48.49240,-124.91079,1.76601028
48.49262,-124.89727,1.79883146
48.49284,-124.88374,2.55634189
48.49306,-124.87021,3.18231034
48.49328,-124.85668,3.98549557
48.49350,-124.84315,4.29138947
48.49372,-124.82963,4.30629492
48.49393,-124.81610,4.34331560
48.49414,-124.80257,4.19774342
48.49436,-124.78904,4.13765812
48.49457,-124.77551,4.14951134
48.49477,-124.76198,4.04954004
48.49498,-124.74845,3.89842725
48.49518,-124.73492,3.14819455
48.49539,-124.72139,3.36509037
48.49559,-124.70786,3.16435933
48.48108,-125.04570,2.77314568
48.48132,-125.03217,2.39976811
48.48156,-125.01865,2.69843554
48.48180,-125.00513,2.79930997
48.48203,-124.99160,2.43400741
48.48226,-124.97808,2.00462818
48.48250,-124.96455,1.54204416
48.48273,-124.95103,1.44547260
48.48295,-124.93750,0.93789876
48.48318,-124.92398,0.95507640
48.48341,-124.91046,0.95904267
48.48363,-124.89693,1.75603092
48.48385,-124.88340,2.54630637
48.48407,-124.86988,3.21013618
48.48429,-124.85635,3.94691372
48.48451,-124.84283,4.15782595
48.48473,-124.82930,4.66526842
48.48494,-124.81578,4.38234758
48.48515,-124.80225,4.22738266
48.48536,-124.78872,4.15531683
48.48557,-124.77520,4.08288908
48.48578,-124.76167,4.07211304
48.48599,-124.74814,3.38980031
48.48619,-124.73462,3.26267171
48.48640,-124.72109,2.88316417
48.48660,-124.70756,2.88551855
48.48680,-124.69403,2.42584991
48.48699,-124.68051,2.56300855
48.48719,-124.66698,2.37340760
48.48739,-124.65345,2.38969398
48.47161,-125.07238,2.99016833
48.47185,-125.05886,3.65820765
48.47209,-125.04534,2.66294217
48.47233,-125.03181,2.23506212
48.47257,-125.01829,2.58166480
48.47280,-125.00477,2.63325167
48.47304,-124.99125,2.69779205
48.47327,-124.97773,1.98798823
48.47350,-124.96421,1.80496800
48.47373,-124.95068,1.33221877
48.47396,-124.93716,1.21647382
48.47419,-124.92364,0.82857299
48.47442,-124.91012,0.95272022
48.47464,-124.89659,1.80048549
48.47486,-124.88307,2.53728628
48.47508,-124.86955,3.48848510
48.47530,-124.85603,4.01843548
48.47552,-124.84250,3.60496378
48.47573,-124.82898,4.70552683
48.47595,-124.81546,4.63858509
48.47616,-124.80193,4.25516367
48.47637,-124.78841,4.17514610
48.47658,-124.77488,4.10642767
48.47679,-124.76136,3.96132898
48.47700,-124.74783,3.08324361
48.47720,-124.73431,2.77877831
48.47740,-124.72078,2.78753304
48.47760,-124.70726,2.40723944
48.47780,-124.69373,2.43020082
48.47800,-124.68021,1.87610149
48.47820,-124.66668,2.07699633
48.47839,-124.65316,2.04127455
48.47859,-124.63963,2.32694554
48.47878,-124.62611,2.60447168
48.47897,-124.61258,2.64467168
48.46213,-125.09905,2.02174616
48.46237,-125.08553,2.87526870
48.46262,-125.07201,3.02269340
48.46286,-125.05849,3.09516525
48.46310,-125.04497,2.76210213
48.46334,-125.03146,2.92152238
48.46358,-125.01794,2.37638998
48.46381,-125.00442,2.73285127
48.46405,-124.99090,2.60258698
48.46428,-124.97738,1.99340534
48.46451,-124.96386,1.74167800
48.46474,-124.95034,1.18762565
48.46497,-124.93682,0.97565877
